StartTime,EndTime,Title,Annotation,MainCategory,Category2,Category3
01:21:02.671,01:21:02.671,,,,,Pen Event
00:05:26.422,00:05:26.422,28,,-0.06061581;-0.302904,0.6896978,28,
00:05:26.465,00:05:26.465,28,,-0.06117395;-0.302428,0.6899225,28,
00:05:26.507,00:05:26.507,28,,-0.06394695;-0.3059337,0.6903898,28,
00:05:26.507,00:05:26.507,28,,-0.06140929;-0.3021939,0.6899289,28,
00:05:26.551,00:05:26.551,28,,-0.06387402;-0.3051727,0.6902077,28,
00:05:26.552,00:05:26.552,28,,-0.06079639;-0.3016475,0.6898183,28,
00:05:26.594,00:05:26.594,28,,-0.06093665;-0.3014652,0.6898162,28,
00:05:26.594,00:05:26.594,28,,-0.06357477;-0.3051369,0.6900654,28,
00:05:26.635,00:05:26.635,28,,-0.06355093;-0.3051111,0.6900663,28,
00:05:26.635,00:05:26.635,28,,-0.06360245;-0.3048759,0.6901498,28,
00:05:26.690,00:05:26.690,28,,-0.06340853;-0.3052541,0.6901815,28,
00:05:26.690,00:05:26.690,28,,-0.06355904;-0.305109,0.6904922,28,
00:05:26.720,00:05:26.720,28,,-0.0636341;-0.3053256,0.690538,28,
00:05:26.720,00:05:26.720,28,,-0.06356955;-0.3058482,0.6906321,28,
00:05:26.763,00:05:26.763,28,,-0.06150101;-0.302843,0.6902251,28,
00:05:26.763,00:05:26.763,28,,-0.06352086;-0.3064978,0.6904411,28,
00:05:26.809,00:05:26.809,28,,-0.06364264;-0.306623,0.6905375,28,
00:05:26.809,00:05:26.809,28,,-0.06396767;-0.3074352,0.6905488,28,
00:05:26.860,00:05:26.860,28,,-0.06067752;-0.3044372,0.6897635,28,
00:05:26.860,00:05:26.860,28,,-0.06442377;-0.3089653,0.6899977,28,
00:05:26.902,00:05:26.902,28,,-0.06217586;-0.3061141,0.6895198,28,
00:05:26.902,00:05:26.902,28,,-0.0650373;-0.310324,0.6896704,28,
00:05:27.042,00:05:27.042,28,,-0.06539048;-0.3112873,0.6894785,28,
00:05:27.042,00:05:27.042,28,,-0.06612191;-0.3124869,0.689447,28,
00:05:27.042,00:05:27.042,28,,-0.06710252;-0.3134515,0.6894396,28,
00:05:27.042,00:05:27.042,28,,-0.06746267;-0.3135697,0.6891928,28,
00:05:27.042,00:05:27.042,28,,-0.06514204;-0.3106796,0.6886201,28,
00:05:27.042,00:05:27.042,28,,-0.06713046;-0.3117837,0.6887518,28,
00:05:27.086,00:05:27.086,28,,-0.06989031;-0.3151969,0.6885591,28,
00:05:27.086,00:05:27.086,28,,-0.07076968;-0.3155432,0.6882,28,
00:05:27.130,00:05:27.130,28,,-0.07140831;-0.3155205,0.6880677,28,
00:05:27.130,00:05:27.130,28,,-0.07141668;-0.3158423,0.6877933,28,
00:05:27.170,00:05:27.170,28,,-0.07144082;-0.315668,0.6878234,28,
00:05:27.170,00:05:27.170,28,,-0.06950838;-0.3123382,0.6875717,28,
00:05:27.220,00:05:27.220,28,,-0.07152929;-0.3154691,0.6878949,28,
00:05:27.220,00:05:27.220,28,,-0.07153416;-0.3154762,0.6878847,28,
00:05:27.291,00:05:27.291,28,,-0.06908078;-0.312126,0.6876572,28,
00:05:27.292,00:05:27.292,28,,-0.07156238;-0.3156364,0.687972,28,
00:05:27.309,00:05:27.309,28,,-0.07160545;-0.315299,0.6879702,28,
00:05:27.309,00:05:27.309,28,,-0.06853493;-0.3116043,0.6873742,28,
00:05:27.350,00:05:27.350,28,,-0.0713506;-0.3149706,0.6875367,28,
00:05:27.350,00:05:27.350,28,,-0.07139492;-0.3149147,0.6875633,28,
00:05:27.392,00:05:27.392,28,,-0.07153176;-0.3146405,0.6874708,28,
00:05:27.393,00:05:27.393,28,,-0.07181728;-0.3141267,0.6875105,28,
00:05:27.434,00:05:27.434,28,,-0.07177784;-0.3142827,0.6874592,28,
00:05:27.435,00:05:27.435,28,,-0.06950434;-0.3099402,0.6871208,28,
