Title,Description,Start(HMS),Start(sec),End(HMS),End(sec),Duration(sec),PrimaryTag,Tags
28,-0.08271018;-0.3039466,0.6893675,00:05:27.876,327.876,00:05:27.876,327.876,0,,
28,-0.08282213;-0.3039442,0.6894864,00:05:27.914,327.914,00:05:27.914,327.914,0,,
28,-0.08300884;-0.3041278,0.6896436,00:05:27.914,327.914,00:05:27.914,327.914,0,,
28,-0.08295598;-0.3041866,0.6896266,00:05:27.914,327.914,00:05:27.914,327.914,0,,
28,-0.08267209;-0.3042901,0.6894909,00:05:27.959,327.959,00:05:27.959,327.959,0,,
28,-0.08270292;-0.3043116,0.6893995,00:05:27.959,327.959,00:05:27.959,327.959,0,,
28,-0.08259837;-0.3041219,0.6893389,00:05:27.998,327.998,00:05:27.998,327.998,0,,
28,-0.0826696;-0.3040839,0.6891618,00:05:28.042,328.042,00:05:28.042,328.042,0,,
28,-0.08246589;-0.3042668,0.6889616,00:05:28.042,328.042,00:05:28.042,328.042,0,,
28,-0.08241686;-0.3046375,0.6887321,00:05:28.082,328.082,00:05:28.082,328.082,0,,
28,-0.08263898;-0.3045258,0.6887394,00:05:28.082,328.082,00:05:28.082,328.082,0,,
28,-0.08235336;-0.3046909,0.6884773,00:05:28.123,328.123,00:05:28.123,328.123,0,,
28,-0.08233312;-0.304648,0.6882675,00:05:28.123,328.123,00:05:28.123,328.123,0,,
28,-0.08218078;-0.3047187,0.688145,00:05:28.266,328.266,00:05:28.266,328.266,0,,
28,-0.08230467;-0.3044907,0.6881371,00:05:28.266,328.266,00:05:28.266,328.266,0,,
28,-0.08180293;-0.3047299,0.6880161,00:05:28.266,328.266,00:05:28.266,328.266,0,,
28,-0.0813052;-0.3052651,0.6879125,00:05:28.266,328.266,00:05:28.266,328.266,0,,
28,-0.08076984;-0.3060963,0.6877497,00:05:28.277,328.277,00:05:28.277,328.277,0,,
28,-0.08006939;-0.3068,0.6874343,00:05:28.278,328.278,00:05:28.278,328.278,0,,
28,-0.07931291;-0.3069255,0.6870036,00:05:28.293,328.293,00:05:28.293,328.293,0,,
28,-0.07856762;-0.3080062,0.6866068,00:05:28.294,328.294,00:05:28.294,328.294,0,,
28,-0.07752614;-0.3087847,0.6861463,00:05:28.334,328.334,00:05:28.334,328.334,0,,
28,-0.07665572;-0.3091294,0.6860308,00:05:28.334,328.334,00:05:28.334,328.334,0,,
28,-0.0758338;-0.3102749,0.6855939,00:05:28.375,328.375,00:05:28.375,328.375,0,,
28,-0.07503112;-0.3100492,0.6852204,00:05:28.415,328.415,00:05:28.415,328.415,0,,
28,-0.07474672;-0.3100479,0.6850761,00:05:28.415,328.415,00:05:28.415,328.415,0,,
28,-0.07378672;-0.3111001,0.6846054,00:05:28.457,328.457,00:05:28.457,328.457,0,,
28,-0.07288146;-0.3112148,0.6842085,00:05:28.457,328.457,00:05:28.457,328.457,0,,
28,-0.07271469;-0.3116525,0.6842004,00:05:28.512,328.512,00:05:28.512,328.512,0,,
28,-0.07240398;-0.3117243,0.6839355,00:05:28.512,328.512,00:05:28.512,328.512,0,,
28,-0.07230909;-0.3115938,0.6837531,00:05:28.548,328.548,00:05:28.548,328.548,0,,
28,-0.07211493;-0.3115608,0.6835088,00:05:28.548,328.548,00:05:28.548,328.548,0,,
28,-0.07207679;-0.3116511,0.6834588,00:05:28.589,328.589,00:05:28.589,328.589,0,,
28,-0.07229605;-0.3117643,0.683623,00:05:28.590,328.59,00:05:28.590,328.59,0,,
28,-0.07240643;-0.3121744,0.6836767,00:05:28.638,328.638,00:05:28.638,328.638,0,,
28,-0.07289129;-0.312017,0.6841224,00:05:28.638,328.638,00:05:28.638,328.638,0,,
28,-0.07285549;-0.3118013,0.6842027,00:05:28.680,328.68,00:05:28.680,328.68,0,,
28,-0.07316019;-0.3117107,0.6843076,00:05:28.681,328.681,00:05:28.681,328.681,0,,
28,-0.07324827;-0.3117608,0.6843195,00:05:28.726,328.726,00:05:28.726,328.726,0,,
28,-0.07303663;-0.3115526,0.6841967,00:05:28.726,328.726,00:05:28.726,328.726,0,,
28,-0.0727301;-0.3113542,0.6841774,00:05:28.777,328.777,00:05:28.777,328.777,0,,
28,-0.07236166;-0.3112379,0.6839339,00:05:28.777,328.777,00:05:28.777,328.777,0,,
28,-0.07206216;-0.3106712,0.6837143,00:05:28.815,328.815,00:05:28.815,328.815,0,,
28,-0.07197218;-0.310064,0.6837434,00:05:28.815,328.815,00:05:28.815,328.815,0,,
28,-0.07092141;-0.3094331,0.6835538,00:05:28.902,328.902,00:05:28.902,328.902,0,,
28,-0.07000634;-0.3085111,0.6832892,00:05:28.902,328.902,00:05:28.902,328.902,0,,
28,-0.0693633;-0.3078977,0.6830474,00:05:28.907,328.907,00:05:28.907,328.907,0,,
28,-0.06854475;-0.3067674,0.6827675,00:05:28.907,328.907,00:05:28.907,328.907,0,,
28,-0.06755176;-0.3059867,0.6826061,00:05:28.952,328.952,00:05:28.952,328.952,0,,
28,-0.06324635;-0.2990699,0.6801082,00:05:28.953,328.953,00:05:28.953,328.953,0,,
28,-0.06218529;-0.2976676,0.6798015,00:05:28.997,328.997,00:05:28.997,328.997,0,,
28,-0.06091861;-0.2965195,0.6794418,00:05:28.997,328.997,00:05:28.997,328.997,0,,
28,-0.06027775;-0.2957946,0.6792836,00:05:29.039,329.039,00:05:29.039,329.039,0,,
28,-0.06336234;-0.3002792,0.681379,00:05:29.118,329.118,00:05:29.118,329.118,0,,
28,-0.05924048;-0.2927449,0.6788686,00:05:29.125,329.125,00:05:29.125,329.125,0,,
28,-0.06237619;-0.2983208,0.6810187,00:05:29.125,329.125,00:05:29.125,329.125,0,,
28,-0.05874583;-0.2916805,0.6790257,00:05:29.142,329.142,00:05:29.142,329.142,0,,
28,-0.05861388;-0.2912443,0.6790019,00:05:29.142,329.142,00:05:29.142,329.142,0,,
28,-0.05841104;-0.2913321,0.6791016,00:05:29.176,329.176,00:05:29.176,329.176,0,,
28,-0.05803509;-0.2915575,0.6786882,00:05:29.176,329.176,00:05:29.176,329.176,0,,
28,-0.05805005;-0.2920734,0.6782275,00:05:29.218,329.218,00:05:29.218,329.218,0,,
28,-0.06120018;-0.2973136,0.6797444,00:05:29.218,329.218,00:05:29.218,329.218,0,,
28,-0.05815058;-0.2937272,0.6771655,00:05:29.264,329.264,00:05:29.264,329.264,0,,
29,-0.03901048;-0.1948633,0.6908457,00:05:33.751,333.751,00:05:33.751,333.751,0,,
29,-0.04214475;-0.199034,0.6928986,00:05:33.805,333.805,00:05:33.805,333.805,0,,
29,-0.04131212;-0.1975891,0.6928411,00:05:33.805,333.805,00:05:33.805,333.805,0,,
29,-0.04133146;-0.1970081,0.6926745,00:05:33.844,333.844,00:05:33.844,333.844,0,,
29,-0.04164873;-0.1970029,0.6924927,00:05:33.844,333.844,00:05:33.844,333.844,0,,
29,-0.04217;-0.1980227,0.6923838,00:05:33.895,333.895,00:05:33.895,333.895,0,,
29,-0.04208791;-0.1982751,0.6923208,00:05:33.895,333.895,00:05:33.895,333.895,0,,
29,-0.04228671;-0.1979306,0.6921628,00:05:33.948,333.948,00:05:33.948,333.948,0,,
29,-0.04257043;-0.1981752,0.6920409,00:05:33.948,333.948,00:05:33.948,333.948,0,,
29,-0.0427795;-0.1982718,0.692021,00:05:34.000,334,00:05:34.000,334,0,,
29,-0.04324305;-0.1981252,0.6916916,00:05:34.000,334,00:05:34.000,334,0,,
29,-0.04069846;-0.1941884,0.6897721,00:05:34.000,334,00:05:34.000,334,0,,
29,-0.04358766;-0.1986741,0.6905493,00:05:34.051,334.051,00:05:34.051,334.051,0,,
29,-0.04369593;-0.1992615,0.6898627,00:05:34.051,334.051,00:05:34.051,334.051,0,,
29,-0.04363961;-0.1997979,0.6888792,00:05:34.102,334.102,00:05:34.102,334.102,0,,
29,-0.04361704;-0.1999628,0.6880646,00:05:34.102,334.102,00:05:34.102,334.102,0,,
29,-0.04400656;-0.2002138,0.6869441,00:05:34.147,334.147,00:05:34.147,334.147,0,,
29,-0.04481523;-0.2002622,0.686224,00:05:34.148,334.148,00:05:34.148,334.148,0,,
29,-0.04508375;-0.200799,0.6852571,00:05:34.197,334.197,00:05:34.197,334.197,0,,
29,-0.04647036;-0.2018075,0.6846151,00:05:34.197,334.197,00:05:34.197,334.197,0,,
29,-0.04325204;-0.1957942,0.6813805,00:05:34.197,334.197,00:05:34.197,334.197,0,,
29,-0.04355767;-0.1959159,0.6807585,00:05:34.244,334.244,00:05:34.244,334.244,0,,
29,-0.04853371;-0.2027832,0.6824932,00:05:34.244,334.244,00:05:34.244,334.244,0,,
