Timestamp;Annotation ID;Width;Color (r,g,b);Point Index;Position (x,y,z);Position` (x,y,z)
637326632100827002;36;0.001999997;0,187,255;23;-0.06831717,0.05521983,0.638304;-0.06831717,0.05521983,0.638304
637326632100827002;36;0.001999997;0,187,255;24;-0.06800564,0.05533272,0.6380334;-0.06800564,0.05533272,0.6380334
637326632101228761;36;0.001999997;0,187,255;25;-0.0676745,0.05540007,0.6382414;-0.0676745,0.05540007,0.6382414
637326632101228761;36;0.001999997;0,187,255;26;-0.06684101,0.05494457,0.6385224;-0.06684101,0.05494457,0.6385224
637326632101645401;36;0.001999997;0,187,255;27;-0.06647065,0.05458891,0.6392404;-0.06647065,0.05458891,0.6392404
637326632102047168;36;0.001999997;0,187,255;28;-0.06609876,0.0543378,0.6399556;-0.06609876,0.0543378,0.6399556
637326632102047168;36;0.001999997;0,187,255;29;-0.06613675,0.05409825,0.6408172;-0.06613675,0.05409825,0.6408172
637326632102453884;36;0.001999997;0,187,255;30;-0.06699958,0.0540995,0.6417239;-0.06699958,0.0540995,0.6417239
637326632102453884;36;0.001999997;0,187,255;31;-0.06745744,0.0539211,0.6418594;-0.06745744,0.0539211,0.6418594
637326632102855646;36;0.001999997;0,187,255;32;-0.06815788,0.05377913,0.6417429;-0.06815788,0.05377913,0.6417429
637326632102860618;36;0.001999997;0,187,255;33;-0.0686911,0.05361146,0.6413438;-0.0686911,0.05361146,0.6413438
637326632103262365;36;0.001999997;0,187,255;34;-0.06904524,0.05360138,0.6405836;-0.06904524,0.05360138,0.6405836
637326632103262365;36;0.001999997;0,187,255;35;-0.06909785,0.05356729,0.6398268;-0.06909785,0.05356729,0.6398268
637326632103664138;36;0.001999997;0,187,255;36;-0.0683633,0.05325991,0.6393002;-0.0683633,0.05325991,0.6393002
637326632104085728;36;0.001999997;0,187,255;37;-0.06788938,0.05311364,0.6391526;-0.06788938,0.05311364,0.6391526
637326632104085728;36;0.001999997;0,187,255;38;-0.06694745,0.05289167,0.6392456;-0.06694745,0.05289167,0.6392456
637326632104497408;36;0.001999997;0,187,255;39;-0.06648863,0.05279231,0.6394704;-0.06648863,0.05279231,0.6394704
637326632104497408;36;0.001999997;0,187,255;40;-0.06630902,0.05277193,0.6395926;-0.06630902,0.05277193,0.6395926
637326632104909094;36;0.001999997;0,187,255;41;-0.06635067,0.0526318,0.6394491;-0.06635067,0.0526318,0.6394491
637326632104914049;36;0.001999997;0,187,255;42;-0.06699727,0.05269521,0.6391066;-0.06699727,0.05269521,0.6391066
637326632105320778;36;0.001999997;0,187,255;43;-0.0675941,0.05277354,0.6387997;-0.0675941,0.05277354,0.6387997
637326632105322694;36;0.001999997;0,187,255;44;-0.06835478,0.05263591,0.6381862;-0.06835478,0.05263591,0.6381862
637326632105732451;36;0.001999997;0,187,255;45;-0.06899996,0.05249912,0.6375613;-0.06899996,0.05249912,0.6375613
637326632105737420;36;0.001999997;0,187,255;46;-0.0694019,0.05233538,0.6370872;-0.0694019,0.05233538,0.6370872
637326632202541899
637326632231096657;37;0.001999997;0,187,255;0;0.03410798,0.11411,0.559343;0.03410798,0.11411,0.559343
637326632231399211;37;0.001999997;0,187,255;1;0.03455448,0.1136866,0.5595155;0.03455448,0.1136866,0.5595155
637326632231810895;37;0.001999997;0,187,255;2;0.03545428,0.1129444,0.5599827;0.03545428,0.1129444,0.5599827
637326632231810895;37;0.001999997;0,187,255;3;0.03676633,0.1121683,0.5603616;0.03676633,0.1121683,0.5603616
637326632232158092;37;0.001999997;0,187,255;4;0.03770489,0.1109964,0.5604643;0.03770489,0.1109964,0.5604643
637326632232158092;37;0.001999997;0,187,255;5;0.03764276,0.1098567,0.5600932;0.03764276,0.1098567,0.5600932
637326632232574727;37;0.001999997;0,187,255;6;0.03918198,0.1074142,0.5603794;0.03918198,0.1074142,0.5603794
637326632232574727;37;0.001999997;0,187,255;7;0.04012062,0.1061266,0.5603662;0.04012062,0.1061266,0.5603662
637326632233075694;37;0.001999997;0,187,255;8;0.04135488,0.1038198,0.560767;0.04135488,0.1038198,0.560767
637326632233075694;37;0.001999997;0,187,255;9;0.04231804,0.1020523,0.5611057;0.04231804,0.1020523,0.5611057
637326632233561775;37;0.001999997;0,187,255;10;0.04413179,0.09917089,0.561425;0.04413179,0.09917089,0.561425
